"Facility_ID","Facility_Name","Facility_Type","Latitude","Longitude","Nearest_Major_Road","Distance_to_Highway_m","Buffer_Zone"
"PAT-FAC-0153","Shekhar Hospital","Hospital / Healthcare","25.60466","85.091465","Bailey Road Flyover","16.6","Within 500m (High Direct Access)"
"PAT-FAC-0154","Shyam Nursing Home, Patna","Hospital / Healthcare","25.612371","85.144101","Fraser Road","304.7","Within 500m (High Direct Access)"
"PAT-FAC-0155","Krishna Health Care","Hospital / Healthcare","25.604986","85.09042","Bailey Road Flyover","46.2","Within 500m (High Direct Access)"
"PAT-FAC-0156","Aargyam Multi Speciality Clinical Care","Hospital / Healthcare","25.594163","85.141936","Major City Arterial","521.5","500m - 1000m (Intermediate Access)"
"PAT-FAC-0157","Guljarbagh Dispensary","Hospital / Healthcare","25.609858","85.206341","Ashok Raj Path","71","Within 500m (High Direct Access)"
"PAT-FAC-0158","Kankarbagh Dispensary","Hospital / Healthcare","25.602275","85.154815","kankarbagh main road","73.1","Within 500m (High Direct Access)"
"PAT-FAC-0159","Goverment hospital,Khagual","Hospital / Healthcare","25.578195","85.048253","Major City Arterial","314","Within 500m (High Direct Access)"
"PAT-FAC-0160","SDH Danapur","Hospital / Healthcare","25.634645","85.045769","Major City Arterial","299","Within 500m (High Direct Access)"
"PAT-FAC-0161","Udayan Hospital","Hospital / Healthcare","25.621052","85.122948","Ashok Rajpath","321.7","Within 500m (High Direct Access)"
"PAT-FAC-0162","River View Service Station","Fuel / Petrol Pump","25.623434","85.125937","Ashok Rajpath","11.7","Within 500m (High Direct Access)"
"PAT-FAC-0163","BP Patna","Fuel / Petrol Pump","25.610176","85.137161","Bailey Road","12.7","Within 500m (High Direct Access)"
"PAT-FAC-0164","Wali Clinic - Neurotherapy Treatment","Hospital / Healthcare","25.62768","85.041999","NH Corridor (NH922)","74","Within 500m (High Direct Access)"
"PAT-FAC-0165","Shivam Clinic","Hospital / Healthcare","25.61333","85.057791","NH Corridor (NH922)","218.9","Within 500m (High Direct Access)"
"PAT-FAC-0166","Nestiva Jay Arogyam Hospital","Hospital / Healthcare","25.594746","85.120316","NH Corridor (NH139)","174","Within 500m (High Direct Access)"
"PAT-FAC-0167","Dr. Usha Kiran Clinic","Hospital / Healthcare","25.618077","85.045499","NH Corridor (NH922)","176.4","Within 500m (High Direct Access)"
"PAT-FAC-0168","Amrutanjan Health Care Limited","Hospital / Healthcare","25.615738","85.127695","Bailey Road","548.7","500m - 1000m (Intermediate Access)"
"PAT-FAC-0169","Dr. S C Jha - Chest Clinic","Hospital / Healthcare","25.610966","85.132881","Bailey Road","32.8","Within 500m (High Direct Access)"
"PAT-FAC-0170","Soni Physiotherapy and Health Clinic","Hospital / Healthcare","25.611398","85.119156","Patna Bypass / Expressway Corridor","205.3","Within 500m (High Direct Access)"
"PAT-FAC-0171","N.S. Emergency Hospital","Hospital / Healthcare","25.58431","85.120351","NH Corridor (NH139)","47.6","Within 500m (High Direct Access)"
"PAT-FAC-0172","Nirgo Poly Clinic","Hospital / Healthcare","25.57456","85.126576","NH Corridor (NH22)","10.4","Within 500m (High Direct Access)"
"PAT-FAC-0173","Bone Hospital","Hospital / Healthcare","25.577608","85.123137","NH Corridor (NH22)","399.5","Within 500m (High Direct Access)"
"PAT-FAC-0174","Spandan Cardio and Diabetic Clinic","Hospital / Healthcare","25.611223","85.117563","Patna Bypass / Expressway Corridor","111.2","Within 500m (High Direct Access)"
